Lan,Kommun,2015,2014,2013,2012,2011,2010,2009,2008,Mål,Mål_År,KOM_IDID
Norrbotten,Arvidsjaur,null,15,9,null,null,2,2,4,null,null,2505
Norrbotten,Boden,null,7,null,null,6,null,null,4,null,null,2582
Norrbotten,Gällivare,15,null,null,null,null,0,null,null,null,null,2523
Norrbotten,Haparanda,24,21,null,14,null,null,null,1,25,2017,2583
Norrbotten,Jokkmokk,24,21,null,null,null,null,null,null,30,null,2510
Norrbotten,Kalix,17,17,11,9,null,null,null,null,15,2016,2514
Norrbotten,Kiruna,null,22,18,17,10,null,12,null,null,null,2584
Norrbotten,Luleå,null,15,null,null,null,null,null,null,25,2018,2580
Norrbotten,Pajala,17,null,19,null,null,0,null,null,null,null,2521
Norrbotten,Piteå,8,null,null,12,8,null,null,null,20,2016,2581
Norrbotten,Älvsbyn,9,10,10,null,null,null,null,null,null,null,2560
Norrbotten,Överkalix,null,null,null,null,null,null,null,null,null,null,2513
Norrbotten,Övertorneå,null,23,null,null,18,15,8,3,25,2016,2518
