Lan,Kommun,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Mål,Mål_År,KOM_IDID
Gävleborg,Söderhamn,32,21,19,14,13,13,21,null,10,6,2,15,null,2182
Västernorrland,Härnösand,24,30,29,29,null,24,4,2,null,6,0,30,2016,2280
Västernorrland,Kramfors,30,30,27,27,null,null,18,12,null,null,4,50,2018,2282
Västernorrland,Sollefteå,30,25,25,19,20,14,10,6,4,3,,25,2016,2283
Västernorrland,Sundsvall,25,30,30,26,18,13,13,13,11,8,0,50,2018,2281
Västernorrland,Timrå,32,25,null,21,17,0,null,null,null,null,null,25,2020,2262
Västernorrland,Ånge,25,18,null,19,10,10,6,5,4,,2,20,null,2260
Västernorrland,Örnsköldsvik,18,30,30,27,21,null,10,5,null,2,1,50,2018,2284
Jämtland,Berg,31,null,null,null,null,null,null,null,null,3,5,null,null,2326
Jämtland,Bräcke,null,null,20,20,null,null,null,null,null,null,null,null,null,2305
Jämtland,Härjedalen,18,null,null,18,19,15,16,13,6,5,null,null,null,2361
Jämtland,Krokom,null,null,null,18,15,14,14,11,9,null,10,20,null,2309
Jämtland,Ragunda,25,null,null,9,null,null,9,null,null,3,1,null,null,2303
Jämtland,Strömsund,18,null,null,10,null,null,null,null,0,null,0,null,null,2313
Jämtland,Åre,null,43,29,32,32,32,33,31,29,27,24,30,2016,2321
Jämtland,Östersund,50,30,26,20,18,19,null,22,17,15,null,50,2020,2380
Västerbotten,Bjurholm,34,27,null,24,25,17,null,13,null,null,null,null,null,2403
Västerbotten,Dorotea,null,null,12,2,5,null,8,null,null,null,null,null,null,2425
Västerbotten,Lycksele,null,15,null,null,null,null,null,null,null,null,null,null,null,2481
Västerbotten,Malå,null,null,12,null,null,null,null,null,null,0,null,null,null,2418
Västerbotten,Nordmaling,25,null,11,null,null,null,null,null,null,null,null,25,2016,2401
Västerbotten,Norsjö,null,null,null,null,null,null,12,7,null,0,0,15,2016,2417
Västerbotten,Robertsfors,null,22,18,23,null,null,null,null,null,null,null,null,null,2409
